wilayah,lokasi,jenis_kendaraan,Cluster
JAKARTA PUSAT,JL. KEBON JATI TN. ABANG,MOBIL BARANG,2
JAKARTA PUSAT,JL. JATI BARU TN. ABANG,MOBIL BARANG,2
JAKARTA PUSAT,JL. KH. MAS MANSYUR TN. ABANG,MOBIL BARANG,2
JAKARTA PUSAT,JL. WAHID HASYIM,MOBIL BARANG,2
JAKARTA PUSAT,JL. SAMANHUDI,KENDARAAN PRIBADI,2
JAKARTA PUSAT,JL. ABDUL MUIS,KENDARAAN PRIBADI,2
JAKARTA PUSAT,JL. KRAMAT RAYA,KENDARAAN PRIBADI,2
JAKARTA PUSAT,JL. PONCOL,KENDARAAN PRIBADI,2
JAKARTA PUSAT,"JL. SOEPRAPTO - CEMPAKA I,II DAN III",KENDARAAN MATERI,2
JAKARTA PUSAT,JL. SOEPRAPTO - GALUR,KENDARAAN MATERI,2
JAKARTA PUSAT,JL. SOEPRAPTO - DEPAN ITC,KENDARAAN MATERI,2
JAKARTA PUSAT,JL. CIKINI RAYA,KENDARAAN PRIBADI,2
JAKARTA PUSAT,JL. PRAMUKA,KENDARAAN PRIBADI,2
UNKNOWN,"JL. RAYA PEMUDA (SD TARAKANITA, LABSCOOL-",UNKNOWN,0
JAKARTA TIMUR,UNJ),KENDARAAN PRIBADI,1
UNKNOWN,JL. RAYA BEKASI TIMUR (DEPAN KANTOR,UNKNOWN,0
JAKARTA TIMUR,IMIGRASI),KENDARAAN PRIBADI,1
JAKARTA TIMUR,PRUMPUNG (TAMAN VIADUCR),PANGKALAN TRUCK,1
JAKARTA TIMUR,JL. RAYA PRAMUKA ( PS. PRAMUKA ),KENDARAAN PRIBADI,1
UNKNOWN,JL. MATRAMAN RAYA (DEPAN SEKOLAH,UNKNOWN,0
JAKARTA TIMUR,MARSUDIRINI),KENDARAAN PRIBADI,1
JAKARTA TIMUR,JL. OTISTA RAYA,KENDARAAN PRIBADI,1
JAKARTA TIMUR,JL. RAYA KALI MALANG ( PANGKALAN JATI ),BUS AKAP,1
UNKNOWN,JL. RAYA BOGOR (DEPAN PS. INDUK KRAMAT,UNKNOWN,0
JAKARTA TIMUR,JATI),KENDARAAN PRIBADI,1
JAKARTA UTARA,JL. BOULEVARD RAYA KELAPA GADING,UNKNOWN,3
JAKARTA UTARA,JL. BOULEVARD BARAT RAYA KELAPA GADING,UNKNOWN,3
UNKNOWN,JL. RAYA KELAPA HIBRYDA (DEPAN SEKOLAH,UNKNOWN,0
JAKARTA UTARA,PENABUR),UNKNOWN,3
JAKARTA UTARA,JL. KELAPA NIAS RAYA,UNKNOWN,3
UNKNOWN,JL. RAYA BOULEVARD TIMUR (DEPAN SEKOLAH,UNKNOWN,0
JAKARTA UTARA,AL-AZHAR),UNKNOWN,3
UNKNOWN,JL. TALI SAMPING HOTEL PANIN SULA (TIMUR -,UNKNOWN,0
JAKARTA BARAT,BARAT),KENDARAAN PRIBADI,4
JAKARTA BARAT,JL. TALI SAMPAING BCA (BARAT - TIMUR),KENDARAAN PRIBADI,4
UNKNOWN,DIBAWAH JEMBATAN METRO GLODOK KOTA,UNKNOWN,0
JAKARTA BARAT,(SELATAN - UTARA),KENDARAAN PRIBADI,4
UNKNOWN,DIBAWAH JEMBATAN METRO GLODOK KOTA /,UNKNOWN,0
JAKARTA BARAT,DEPAN POSPOL ( UTARA - SELATAN ),KENDARAAN PRIBADI,4
UNKNOWN,JL. KYAI TAPA DEPAN SUMBER WARAS (TIMUR -,UNKNOWN,0
JAKARTA BARAT,JL. KYAI TAPA DEPAN TRISAKTI ( TIMUR - BARAT ),KENDARAAN PRIBADI,4
JAKARTA BARAT,JL. JEMBATAN LIMA ( UTARA - SELATAN ),KENDARAAN PRIBADI,4
JAKARTA BARAT,JL. JEMBATAN LIMA ( SELATAN - UTARA ),KENDARAAN PRIBADI,4
JAKARTA BARAT,JL. PIONTU KECIL ( TIMUR - BARAT ),KENDARAAN PRIBADI,4
JAKARTA BARAT,JL. PINANG SIA RAYA ( UTARA - SELATAN ),KENDARAAN PRIBADI,4
